pyDeepSEA AU ROC	pyDeepSEA AU PR
0.93733	0.44423
0.96715	0.57832
0.78180	0.02854
0.91959	0.26513
0.79642	0.10942
0.78502	0.02315
0.79618	0.03347
0.98046	0.50253
0.80538	0.00436
0.74461	0.02995
0.89790	0.11335
0.93559	0.34272
0.82628	0.04356
0.91789	0.06946
0.87817	0.30474
0.89922	0.35980
0.93862	0.17300
0.84801	0.00497
0.90332	0.08712
0.79389	0.09634
0.87432	0.14010
0.98123	0.58427
0.98771	0.26472
0.94607	0.31829
0.89809	0.21340
0.92659	0.30364
0.94738	0.26772
0.95215	0.16598
0.92343	0.30296
0.79452	0.03551
0.86000	0.02253
0.91041	0.35567
0.80695	0.00993
0.78232	0.04111
0.78870	0.03184
0.83628	0.21829
0.85960	0.22773
0.93560	0.51879
0.90065	0.12193
0.98481	0.53567
0.95976	0.21899
0.96643	0.21308
0.93137	0.20917
0.98181	0.16459
0.88301	0.07263
0.77314	0.02342
0.95325	0.37553
0.85132	0.04953
0.78807	0.07654
0.97983	0.14941
0.78312	0.04782
0.89393	0.12950
0.96126	0.28729
0.89506	0.21685
0.90048	0.03310
0.95692	0.30795
0.82583	0.02386
0.90148	0.15887
0.97338	0.14026
0.94317	0.28477
0.72517	0.02680
0.88973	0.04369
0.90772	0.18315
0.86504	0.17220
0.84270	0.18525
0.91083	0.17427
0.81958	0.05134
0.87183	0.25150
0.98968	0.59747
0.83597	0.14379
0.94627	0.51792
0.89731	0.15486
0.89734	0.19984
0.92955	0.23603
0.96040	0.34560
0.98459	0.63856
0.76677	0.00730
0.76088	0.02113
0.75820	0.02062
0.79541	0.08999
0.75508	0.06969
0.79130	0.04693
0.92073	0.26087
0.89787	0.29740
0.92787	0.07833
0.95223	0.39496
0.95135	0.22336
0.60379	0.00620
0.98638	0.60943
0.93286	0.46048
0.86672	0.06684
0.98827	0.47385
0.89330	0.12567
0.99598	0.04617
0.96827	0.16756
0.86034	0.06347
0.90731	0.22799
0.87927	0.02438
0.97402	0.53364
0.96099	0.16714
0.78007	0.07532
0.95091	0.31551
0.84201	0.05754
0.90661	0.03147
0.93643	0.27798
0.92774	0.36186
0.91240	0.29029
0.91159	0.08457
0.84146	0.08570
0.96212	0.14131
0.88540	0.26032
0.98352	0.28557
0.89466	0.06120
0.86371	0.10168
0.89609	0.33641
0.90927	0.31065
0.95960	0.34430
0.66144	0.00002
0.97076	0.57046
0.88449	0.12690
0.93376	0.29401
0.96797	0.63665
0.89097	0.03401
0.84961	0.04433
0.87199	0.11570
0.87176	0.18223
0.94114	0.09735
0.90771	0.11825
0.84105	0.08655
0.80997	0.01462
0.96848	0.56348
0.43265	0.00023
0.77077	0.00284
0.84483	0.14198
0.90150	0.31965
0.87352	0.07889
0.93393	0.42962
0.89139	0.18514
0.96647	0.53669
0.84856	0.05512
0.91974	0.39761
0.85002	0.01967
0.96785	0.48830
0.86450	0.10146
0.95601	0.54316
0.86048	0.04425
0.93043	0.41902
0.85835	0.02836
0.94593	0.45889
0.89597	0.10070
0.92253	0.06720
0.93937	0.19374
0.93243	0.04382
0.93495	0.18371
0.89795	0.04035
0.94252	0.09907
0.93186	0.12864
0.94075	0.17909
0.91205	0.12628
